elemento;desc_elemento;tipo_elemento;
LIMP;Elemento LIMP;LI;
MB6210;Elemento MB6210;MB;
MH2000;Elemento MH2000;MH;
MH249;Elemento MH249;MH;
MR55;Elemento MR55;MR;
MS619;Elemento MS619;MS;
XMH9200;Elemento XMH9200;XM;
FB101;Elemento FB101;FB;
FB6211;Elemento FB6211;FB;
FH251;Elemento FH251;FH;
FK70;Elemento FK70;FK;
FK9002;Elemento FK9002;FK;
FMH250;Elemento FMH250;FM;
FS618;Elemento FS618;FS;
FT391;Elemento FT391;FT;
FT880RR;Elemento FT880RR;FT;
LM1;Elemento LM1;LM;
MA2668;Elemento MA2668;MA;
MA2669;Elemento MA2669;MA;
MB1038;Elemento MB1038;MB;
MB140;Elemento MB140;MB;
MB141;Elemento MB141;MB;
MB162;Elemento MB162;MB;
MB227;Elemento MB227;MB;
MB229;Elemento MB229;MB;
MR7309;Elemento MR7309;MR;
MT6305;Elemento MT6305;MT;
MB102;Elemento MB102;MB;
MT1212;Elemento MT1212;MT;
MT146;Elemento MT146;MT;
MT1470;Elemento MT1470;MT;
MT1683;Elemento MT1683;MT;
MT877;Elemento MT877;MT;
FB1037;Elemento FB1037;FB;
FS007;Elemento FS007;FS;
FT6304;Elemento FT6304;FT;
FT810;Elemento FT810;FT;
XFT5280;Elemento XFT5280;XF;
XFT5501;Elemento XFT5501;XF;
MB119;Elemento MB119;MB;
XMB5744;Elemento XMB5744;XM;
FB231;Elemento FB231;FB;
FR7311;Elemento FR7311;FR;
FT280;Elemento FT280;FT;
FT7722;Elemento FT7722;FT;
MT2683;Elemento MT2683;MT;
XFB5745;Elemento XFB5745;XF;
MS006;Elemento MS006;MS;
MT1391;Elemento MT1391;MT;
MT886;Elemento MT886;MT;
FB41;Elemento FB41;FB;
FT209;Elemento FT209;FT;
MB1040;Elemento MB1040;MB;
MB161;Elemento MB161;MB;
MR7307;Elemento MR7307;MR;
MS072;Elemento MS072;MS;
MT277;Elemento MT277;MT;
MT278;Elemento MT278;MT;
MT6306;Elemento MT6306;MT;
MB347;Elemento MB347;MB;
MB913;Elemento MB913;MB;
MT346;Elemento MT346;MT;
MT807;Elemento MT807;MT;
MT8822;Elemento MT8822;MT;
XMR5032;Elemento XMR5032;XM;
FA2671SR;Elemento FA2671SR;FA;
FS862;Elemento FS862;FS;
FT470;Elemento FT470;FT;
FT598;Elemento FT598;FT;
MS962;Elemento MS962;MS;
MB120;Elemento MB120;MB;
MT808;Elemento MT808;MT;
XMB5741;Elemento XMB5741;XM;
FMB230;Elemento FMB230;FM;
FT46;Elemento FT46;FT;
XFR5034;Elemento XFR5034;XF;
FH9616;Elemento FH9616;FH;
FMH2016;Elemento FMH2016;FM;
FT683;Elemento FT683;FT;
MA407;Elemento MA407;MA;
MB6320;Elemento MB6320;MB;
XMR5033;Elemento XMR5033;XM;
FB350;Elemento FB350;FB;
MB349;Elemento MB349;MB;
XMB5742;Elemento XMB5742;XM;
MB223;Elemento MB223;MB;
MB323;Elemento MB323;MB;
MS129;Elemento MS129;MS;
MT34;Elemento MT34;MT;
FT33;Elemento FT33;FT;
MB1039;Elemento MB1039;MB;
MB228;Elemento MB228;MB;
MB368;Elemento MB368;MB;
