subcentro;maq;elemento;fecha;hora;duracion
BANBY;BY01;MH2000;2022/07/27;06:21:11;96.9
BANBY;BY01;MH249;2022/07/04;06:21:27;4.67
BANBY;BY01;MH249;2022/07/03;06:21:54;4.28
BANBY;BY01;MH249;2022/08/04;06:22:28;165.47
BANBY;BY01;MS619;2022/07/07;06:22:35;80.02
BANBY;BY01;MS619;2022/08/25;06:22:47;1518.57
BANBY;BY01;MT2391;2022/08/09;06:22:50;583.02
BANBY;BY01;MT1391;2022/07/19;06:23:09;4.48
BANBY;BY01;MT34;2022/07/20;06:23:50;1059.38
BANBY;BY01;MT2391;2022/08/09;06:25:45;2.92
BANBY;BY01;MH249;2022/07/23;06:25:57;84.98
BANBY;BY01;MH2000;2022/08/17;06:26:26;591.25
BANBY;BY01;MH249;2022/07/03;06:26:44;4.83
BANBY;BY01;MH2000;2022/07/17;06:26:49;568.62
BANBY;BY01;MT1391;2022/07/19;06:27:13;4.07
BANBY;BY01;MH249;2022/08/04;06:27:15;4.78
BANBY;BY01;MS006;2022/07/24;06:27:36;84.3
BANBY;BY01;MH2000;2022/07/27;06:27:38;6.45
BANBY;BY01;MS619;2022/07/07;06:27:48;5.22
BANBY;BY01;MH249;2022/07/15;06:28:14;605.32
BANBY;BY01;MS619;2022/08/07;06:29:31;80.22
BANBY;BY01;MB223;2022/07/05;06:29:36;1132.83
BANBY;BY01;MT2391;2022/08/09;06:29:59;4.23
BANBY;BY01;MS619;2022/07/11;06:30:22;91.37
BANBY;BY01;MT8221;2022/07/08;06:30:26;88.47
BANBY;BY01;MT1391;2022/07/19;06:30:54;3.68
BANBY;BY01;MH249;2022/07/23;06:30:59;5.03
BANBY;BY01;MH249;2022/08/04;06:31:00;3.75
BANBY;BY01;MH2000;2022/08/17;06:31:13;4.78
BANBY;BY01;MH249;2022/07/03;06:31:19;4.58
BANBY;BY01;MS006;2022/07/24;06:31:22;3.77
BANBY;BY01;MT2391;2022/08/09;06:32:15;2.27
BANBY;BY01;MH2000;2022/07/14;06:32:19;88.78
BANBY;BY01;MH2000;2022/08/19;06:32:58;88.93
BANBY;BY01;MH249;2022/07/15;06:33:04;4.83
BANBY;BY01;MB223;2022/07/05;06:33:39;4.05
BANBY;BY01;MB6210;2022/08/12;06:33:59;1194.97
BANBY;BY01;MS619;2022/07/11;06:34:20;3.97
BANBY;BY01;MH2000;2022/07/17;06:34:24;7.58
BANBY;BY01;MT1391;2022/07/19;06:34:35;3.68
BANBY;BY01;MH249;2022/07/01;06:34:45;91.97
BANBY;BY01;MH249;2022/07/23;06:34:49;3.83
BANBY;BY01;MH249;2022/08/04;06:35:11;4.18
BANBY;BY01;MH2000;2022/08/17;06:35:35;4.37
BANBY;BY01;MH249;2022/07/03;06:35:38;4.32
BANBY;BY01;MS619;2022/08/07;06:35:41;6.17
BANBY;BY01;MT2391;2022/08/09;06:35:49;3.57
BANBY;BY01;LIMP;2022/08/29;06:36:05;419
BANBY;BY01;MB223;2022/07/05;06:36:08;2.48
BANBY;BY03;FMH250;2022/07/14;06:19:58;2.88
BANBY;BY03;FMH250;2022/08/28;06:20:06;2.8
BANBY;BY03;FS618;2022/08/08;06:20:25;3.45
BANBY;BY03;FH251;2022/07/28;06:20:30;80.68
BANBY;BY03;FB6211;2022/07/01;06:20:33;82.03
BANBY;BY03;FT33;2022/07/08;06:20:49;2.78
BANBY;BY03;FS618;2022/08/16;06:20:53;2246.95
BANBY;BY03;FMH2016;2022/08/23;06:20:58;78.77
BANBY;BY03;LM1;2022/07/17;06:21:00;75.97
BANBY;BY03;FH9616;2022/08/20;06:21:07;2.45
BANBY;BY03;FS618;2022/07/03;06:21:17;2.78
BANBY;BY03;LM1;2022/08/02;06:21:21;3.4
BANBY;BY03;FB6211;2022/07/29;06:21:26;2.75
BANBY;BY03;FB6211;2022/07/04;06:21:33;302.07
BANBY;BY03;FB41;2022/07/13;06:21:48;2.78
BANBY;BY03;FH251;2022/08/05;06:21:48;579.77
BANBY;BY03;FB6211;2022/08/01;06:22:05;81.58
BANBY;BY03;FS007;2022/07/15;06:22:08;5.75
BANBY;BY03;FB101;2022/08/06;06:22:10;3.27
BANBY;BY03;FMH250;2022/07/24;06:22:20;84.77
BANBY;BY03;FMH250;2022/07/14;06:22:47;2.82
BANBY;BY03;FMH2016;2022/07/05;06:23:15;4.15
BANBY;BY03;FH251;2022/07/28;06:23:30;3
BANBY;BY03;FH9616;2022/08/20;06:23:35;2.47
BANBY;BY03;FMH2016;2022/08/23;06:23:43;2.75
BANBY;BY03;FS618;2022/08/08;06:23:55;3.5
BANBY;BY03;FMH2016;2022/08/22;06:23:55;79.1
BANBY;BY03;FB6211;2022/07/01;06:24:04;3.52
BANBY;BY03;FS618;2022/07/23;06:24:08;82.98
BANBY;BY03;FB6211;2022/08/01;06:24:31;2.43
BANBY;BY03;FB41;2022/07/13;06:24:38;2.83
BANBY;BY03;LM1;2022/07/17;06:24:38;3.63
BANBY;BY03;FMH2016;2022/08/27;06:24:43;7.4
BANBY;BY03;FS618;2022/07/03;06:24:53;3.6
BANBY;BY03;FH251;2022/08/05;06:24:57;3.15
BANBY;BY03;FMH250;2022/07/24;06:25:00;2.67
BANBY;BY03;FB6211;2022/07/04;06:25:07;3.57
BANBY;BY03;FMH250;2022/07/14;06:25:31;2.73
BANBY;BY03;FH251;2022/08/12;06:25:46;584.55
BANBY;BY03;FMH2016;2022/08/23;06:26:25;2.7
BANBY;BY03;FMH2016;2022/08/22;06:26:29;2.57
BANBY;BY03;FH251;2022/07/31;06:26:46;86
BANBY;BY03;FMH2016;2022/07/05;06:26:55;3.67
BANBY;BY03;FB6211;2022/08/01;06:26:55;2.4
BANBY;BY03;FH251;2022/07/28;06:27:02;3.53
BANBY;BY03;FS007;2022/07/15;06:27:05;4.95
BANBY;BY03;FB6211;2022/07/01;06:27:19;3.25
BANBY;BY03;FMH2016;2022/08/27;06:27:20;2.62
BANBY;BY03;LIMP;2022/07/19;06:27:30;567.13
BANBY;BY03;FS618;2022/07/23;06:27:33;3.42
BANBY;BY03;FS007;2022/07/27;06:27:33;87.83
BANBY;BY03;FB41;2022/07/13;06:27:35;2.95
BANBY;BY03;FS618;2022/07/03;06:27:36;2.72
BANBY;BY03;FMH250;2022/07/24;06:27:42;2.7
BANBY;BY03;FMH250;2022/07/25;06:27:46;86.2
BANBY;BY03;FB6211;2022/07/04;06:27:53;2.77
BANBY;BY03;FH251;2022/08/05;06:28:00;3.05
BANBY;BY03;FB6211;2022/07/02;06:28:15;87.2
BANBY;BY03;FH251;2022/08/12;06:28:38;2.87
BANBY;BY03;FMH2016;2022/08/22;06:28:56;2.45
BANBY;BY03;FMH2016;2022/08/23;06:29:09;2.73
BANBY;BY03;FH9616;2022/08/20;06:29:12;5.62
BANBY;BY03;FH251;2022/07/31;06:29:33;2.78
BANBY;BY03;FB6211;2022/08/01;06:29:40;2.75
BANBY;BY03;FH251;2022/07/28;06:29:44;2.7
BANBY;BY03;FB6211;2022/07/01;06:30:03;2.73
BANBY;BY03;FMH2016;2022/07/05;06:30:07;3.2
BANBY;BY03;FS618;2022/07/30;06:30:09;95.92
BANBY;BY03;FT449;2022/07/21;06:30:11;87.7
BANBY;BY03;FS007;2022/07/15;06:30:14;3.15
BANBY;BY03;FH251;2022/07/22;06:30:16;88.98
BANBY;BY03;FMH250;2022/07/24;06:30:23;2.68
BANBY;BY03;FB6319;2022/08/02;06:30:26;9.08
BANBY;BY03;LIMP;2022/07/19;06:30:32;3.03
BANBY;BY03;FB41;2022/07/13;06:30:34;2.98
BANBY;BY03;FS618;2022/07/23;06:30:37;3.07
BANBY;BY03;FMH250;2022/07/25;06:30:41;2.92
BANBY;BY03;FS618;2022/07/03;06:30:43;3.12
BANBY;BY03;FS007;2022/07/27;06:30:43;3.17
BANBY;BY03;FB6211;2022/07/04;06:30:51;2.97
BANBY;BY03;FB6211;2022/07/02;06:30:59;2.73
BANBY;BY03;FH251;2022/08/05;06:30:59;2.98
BANBY;BY03;FMH2016;2022/08/27;06:31:11;3.85
BANBY;BY03;FMH2016;2022/08/22;06:31:25;2.48
BANBY;BY03;FH251;2022/08/12;06:31:30;2.87
BANBY;BY03;FH9616;2022/08/20;06:31:40;2.47
BANBY;BY03;FMH250;2022/08/28;06:31:40;11.57
BANBY;BY03;FMH2016;2022/08/23;06:32:07;2.97
BANBY;BY03;FH251;2022/07/31;06:32:17;2.73
BANBY;BY03;FH251;2022/07/28;06:32:26;2.7
BANBY;BY03;FB6211;2022/08/01;06:32:26;2.77
BANBY;BY03;FB6211;2022/07/01;06:32:45;2.7
BANBY;BY03;LM1;2022/07/17;06:32:51;8.22
BANBY;BY03;FH251;2022/07/22;06:33:06;2.83
BANBY;BY03;FMH250;2022/07/24;06:33:11;2.8
BANBY;BY03;FMH2016;2022/07/14;06:33:15;7.73
BANBY;BY03;FH9616;2022/07/08;06:33:17;12.47
BANBY;BY03;FB6211;2022/07/04;06:33:20;2.48
BANBY;BY03;FS618;2022/07/23;06:33:21;2.73
BANBY;BY03;FB6319;2022/08/02;06:33:30;3.07
BANBY;BY03;FMH250;2022/07/25;06:33:31;2.83
BANBY;BY03;FS007;2022/07/27;06:33:31;2.8
BANBY;BY03;FB41;2022/07/13;06:33:35;3.02
BANBY;BY03;FS618;2022/07/03;06:33:37;2.9
BANBY;BY03;FT470;2022/08/08;06:33:37;9.7
BANBY;BY03;FB6211;2022/07/02;06:33:43;2.73
BANBY;BY03;FT449;2022/07/21;06:33:43;3.53
BANBY;BY03;LIMP;2022/07/19;06:33:45;3.22
BANBY;BY03;FS618;2022/07/30;06:33:53;3.73
BANBY;BY03;LM1;2022/08/21;06:33:54;575.77
BANBY;BY03;FH251;2022/08/05;06:33:56;2.95
BANBY;BY03;FMH2016;2022/07/05;06:34:06;3.98
BANBY;BY03;FH9616;2022/08/20;06:34:08;2.47
BANBY;BY03;FMH2016;2022/08/22;06:34:17;2.87
BANBY;BY03;FH251;2022/08/12;06:34:24;2.9
BANBY;BY03;FMH250;2022/08/06;06:34:25;12.25
BANBY;BY03;FMH2016;2022/08/23;06:34:40;2.55
BANBY;BY03;FH251;2022/07/31;06:35:02;2.75
BANBY;BY03;FH251;2022/07/28;06:35:07;2.68
BANBY;BY03;FS007;2022/07/15;06:35:26;5.2
BANBY;BY03;FB6211;2022/08/01;06:35:39;3.22
BANBY;BY03;FH9616;2022/07/08;06:35:47;2.5
BANBY;BY03;FMH250;2022/07/24;06:35:52;2.68
BANBY;BY03;FMH250;2022/07/11;06:35:59;574.42
BANBY;BY03;FMH2016;2022/07/14;06:36:00;2.75
BANBY;BY03;FS618;2022/07/23;06:36:25;3.07
BANBY;BY03;FS618;2022/07/03;06:36:27;2.83
TOBDIA;TC02;R827;2022/07/28;06:46:37;614.72
TOBDIA;TC02;R807;2022/07/15;06:51:06;1145.02
TOBDIA;TC02;R827;2022/07/29;06:56:49;636.72
TOBDIA;TC02;CT230;2022/07/27;06:58:45;1182.65
TOBDIA;TC02;CT223;2022/07/25;07:02:05;2581.87
TOBDIA;TC02;CT230;2022/07/27;07:04:25;2.33
TOBDIA;TC02;CT223;2022/07/25;07:09:45;4.33
TOBDIA;TC02;CT234;2022/07/27;07:11:05;5.67
TOBDIA;TC02;CT224;2022/07/29;07:12:10;13.02
TOBDIA;TC02;R723;2022/07/23;07:15:02;122.07
TOBDIA;TC02;CT230;2022/07/25;07:15:26;7.67
TOBDIA;TC02;CT224;2022/07/29;07:15:30;2.67
TOBDIA;TC02;CT224;2022/07/29;07:20:50;4.33
TOBDIA;TC02;CT234;2022/07/27;07:21:06;1.68
TOBDIA;TC02;R827;2022/07/21;07:22:59;1955.53
TOBDIA;TC02;CT230;2022/07/19;07:23:55;242.15
TOBDIA;TC02;R827;2022/07/21;07:26:39;2.33
TOBDIA;TC02;CT230;2022/07/25;07:28:26;2.67
TOBDIA;TC02;CT243;2022/07/27;07:30:06;10.02
TOBDIA;TC02;R719;2022/08/25;07:30:16;174.77
TOBDIA;TC02;R723;2022/07/23;07:31:23;1.33
TOBDIA;TC02;CT230;2022/07/25;07:33:06;2.67
TOBDIA;TC02;CT224;2022/07/29;07:33:11;4
TOBDIA;TC02;CT234;2022/07/28;07:33:59;36.02
TOBDIA;TC02;CT240;2022/07/26;07:34:18;654.73
TOBDIA;TC02;R723;2022/07/19;07:34:55;286.18
TOBDIA;TC02;R614;2022/08/25;07:34:56;176.43
TOBDIA;TC02;R723;2022/07/19;07:37:15;1.67
TOBDIA;TC02;CT224;2022/07/29;07:37:31;3
TOBDIA;TC02;R807;2022/07/22;07:38:50;1144.35
TOBDIA;TC02;R614;2022/08/25;07:40:16;4.67
TOBDIA;TC02;R723;2022/07/19;07:41:15;2
TOBDIA;TC02;R614;2022/08/25;07:41:56;.33
TOBDIA;TC02;R759;2022/08/29;07:43:24;58.35
TOBDIA;TC02;R719;2022/08/30;07:44:57;452.97
TOBDIA;TC02;R759;2022/08/29;07:45:24;1
TOBDIA;TC02;R807;2022/07/22;07:45:30;4.67
TOBDIA;TC02;R719;2022/08/30;07:46:37;1
TOBDIA;TC02;CT243;2022/07/26;07:46:39;2.67
TOBDIA;TC02;R719;2022/08/30;07:47:37;.67
TOBDIA;TC02;R759;2022/08/23;07:47:51;485.27
