subcentro;maq;fecha;cod_raiz;tiempo_int
BANBY;BY01;2022/07/01;110;49
BANBY;BY01;2022/07/01;42;25
BANBY;BY01;2022/07/01;43;15
BANBY;BY01;2022/07/01;45;49
BANBY;BY01;2022/07/01;48;27
BANBY;BY01;2022/07/01;49;6
BANBY;BY01;2022/08/01;42;480
BANBY;BY01;2022/07/02;110;40
BANBY;BY01;2022/07/02;42;39
BANBY;BY01;2022/07/02;43;12
BANBY;BY01;2022/07/02;45;18
BANBY;BY01;2022/07/02;48;52
BANBY;BY01;2022/07/02;49;14
BANBY;BY01;2022/07/02;81;44
BANBY;BY01;2022/08/02;101;0
BANBY;BY01;2022/08/02;110;3
BANBY;BY01;2022/08/02;42;309
BANBY;BY01;2022/08/02;44;33
BANBY;BY01;2022/08/02;45;5
BANBY;BY01;2022/08/02;50;32
BANBY;BY01;2022/07/03;101;1
BANBY;BY01;2022/07/03;110;40
BANBY;BY01;2022/07/03;42;25
BANBY;BY01;2022/07/03;43;14
BANBY;BY01;2022/07/03;45;20
BANBY;BY01;2022/07/03;47;2
BANBY;BY01;2022/07/03;48;9
BANBY;BY01;2022/07/03;49;14
BANBY;BY01;2022/07/03;81;119
BANBY;BY01;2022/08/03;42;480
BANBY;BY01;2022/07/04;110;26
BANBY;BY01;2022/07/04;42;13
BANBY;BY01;2022/07/04;43;25
BANBY;BY01;2022/07/04;45;17
BANBY;BY01;2022/07/04;49;20
BANBY;BY01;2022/07/04;81;32
BANBY;BY01;2022/07/04;82;106
BANBY;BY01;2022/08/04;101;0
BANBY;BY01;2022/08/04;110;35
BANBY;BY01;2022/08/04;42;19
BANBY;BY01;2022/08/04;43;15
BANBY;BY01;2022/08/04;45;13
BANBY;BY01;2022/08/04;48;16
BANBY;BY01;2022/08/04;49;11
BANBY;BY01;2022/08/04;81;35
BANBY;BY01;2022/07/05;110;30
BANBY;BY01;2022/07/05;42;27
BANBY;BY01;2022/07/05;43;25
BANBY;BY01;2022/07/05;45;18
BANBY;BY01;2022/07/05;47;46
BANBY;BY01;2022/07/05;49;23
BANBY;BY01;2022/07/05;81;32
BANBY;BY01;2022/08/05;110;14
BANBY;BY01;2022/08/05;42;30
BANBY;BY01;2022/08/05;43;15
BANBY;BY01;2022/08/05;45;12
BANBY;BY01;2022/08/05;48;18
BANBY;BY01;2022/08/05;49;9
BANBY;BY01;2022/07/06;110;10
BANBY;BY01;2022/07/06;42;260
BANBY;BY01;2022/07/06;48;9
BANBY;BY01;2022/07/06;49;5
BANBY;BY01;2022/07/06;81;105
BANBY;BY01;2022/08/06;42;480
BANBY;BY01;2022/07/07;101;1
BANBY;BY01;2022/07/07;110;34
BANBY;BY01;2022/07/07;42;20
BANBY;BY01;2022/07/07;43;21
BANBY;BY01;2022/07/07;45;88
BANBY;BY01;2022/07/07;47;49
BANBY;BY01;2022/07/07;49;2
BANBY;BY01;2022/08/07;101;0
BANBY;BY01;2022/08/07;110;36
BANBY;BY01;2022/08/07;42;24
BANBY;BY01;2022/08/07;43;15
BANBY;BY01;2022/08/07;45;60
BANBY;BY01;2022/08/07;48;11
BANBY;BY01;2022/08/07;49;13
BANBY;BY01;2022/08/07;82;56
BANBY;BY01;2022/07/08;101;0
BANBY;BY01;2022/07/08;110;48
BANBY;BY01;2022/07/08;42;26
BANBY;BY01;2022/07/08;43;30
BANBY;BY01;2022/07/08;45;36
BANBY;BY01;2022/07/08;47;28
BANBY;BY01;2022/07/08;49;16
BANBY;BY01;2022/08/08;110;13
BANBY;BY01;2022/08/08;41;33
BANBY;BY01;2022/08/08;42;25
BANBY;BY01;2022/08/08;43;58
BANBY;BY01;2022/08/08;45;12
BANBY;BY01;2022/08/08;48;34
BANBY;BY01;2022/08/08;49;83
BANBY;BY01;2022/07/09;3;480
BANBY;BY01;2022/08/09;110;36
BANBY;BY01;2022/08/09;42;12
BANBY;BY01;2022/08/09;43;9
BANBY;BY01;2022/08/09;45;23
BANBY;BY01;2022/08/09;48;87
BANBY;BY01;2022/08/09;49;21
BANBY;BY01;2022/07/10;101;0
BANBY;BY01;2022/07/10;110;52
BANBY;BY01;2022/07/10;41;40
BANBY;BY01;2022/07/10;42;21
BANBY;BY01;2022/07/10;43;35
BANBY;BY01;2022/07/10;45;24
BANBY;BY01;2022/07/10;48;42
BANBY;BY01;2022/08/10;42;480
BANBY;BY01;2022/07/11;101;1
BANBY;BY01;2022/07/11;110;40
BANBY;BY01;2022/07/11;42;27
BANBY;BY01;2022/07/11;43;15
BANBY;BY01;2022/07/11;45;19
BANBY;BY01;2022/07/11;48;22
BANBY;BY01;2022/07/11;49;37
BANBY;BY01;2022/07/11;5;15
BANBY;BY01;2022/08/11;110;26
BANBY;BY01;2022/08/11;42;40
BANBY;BY01;2022/08/11;45;13
BANBY;BY01;2022/08/11;48;73
BANBY;BY01;2022/07/12;110;14
BANBY;BY01;2022/07/12;42;55
BANBY;BY01;2022/07/12;45;2
BANBY;BY01;2022/07/12;47;102
BANBY;BY01;2022/07/12;48;20
BANBY;BY01;2022/07/12;5;219
BANBY;BY01;2022/08/12;110;43
BANBY;BY01;2022/08/12;42;20
BANBY;BY01;2022/08/12;43;5
BANBY;BY01;2022/08/12;45;12
BANBY;BY01;2022/08/12;48;78
BANBY;BY01;2022/08/12;49;27
BANBY;BY01;2022/08/12;82;23
BANBY;BY01;2022/07/13;110;55
BANBY;BY01;2022/07/13;41;41
BANBY;BY01;2022/07/13;42;25
BANBY;BY01;2022/07/13;43;2
BANBY;BY01;2022/07/13;45;7
BANBY;BY01;2022/07/13;48;41
BANBY;BY01;2022/07/13;49;13
BANBY;BY01;2022/08/13;3;480
BANBY;BY01;2022/07/14;110;19
BANBY;BY01;2022/07/14;42;34
BANBY;BY01;2022/07/14;43;29
BANBY;BY01;2022/07/14;45;7
BANBY;BY01;2022/07/14;48;77
BANBY;BY01;2022/07/14;49;70
BANBY;BY01;2022/07/14;5;14
BANBY;BY01;2022/08/14;101;0
BANBY;BY01;2022/08/14;110;43
BANBY;BY01;2022/08/14;42;25
BANBY;BY01;2022/08/14;43;4
BANBY;BY01;2022/08/14;45;25
BANBY;BY01;2022/08/14;48;41
BANBY;BY01;2022/08/14;82;98
BANBY;BY01;2022/08/14;99;10
BANBY;BY01;2022/07/15;110;25
BANBY;BY01;2022/07/15;42;124
BANBY;BY01;2022/07/15;43;25
BANBY;BY01;2022/07/15;45;4
BANBY;BY01;2022/07/15;48;56
BANBY;BY01;2022/07/15;5;5
BANBY;BY01;2022/08/15;3;480
BANBY;BY01;2022/07/16;42;480
BANBY;BY01;2022/08/16;101;0
BANBY;BY01;2022/08/16;42;465
BANBY;BY01;2022/08/16;45;13
BANBY;BY01;2022/07/17;110;37
BANBY;BY01;2022/07/17;42;25
BANBY;BY01;2022/07/17;43;15
BANBY;BY01;2022/07/17;45;25
BANBY;BY01;2022/07/17;48;62
BANBY;BY01;2022/07/17;81;88
BANBY;BY01;2022/08/17;110;34
BANBY;BY01;2022/08/17;42;23
BANBY;BY01;2022/08/17;45;19
BANBY;BY01;2022/08/17;48;16
BANBY;BY01;2022/07/18;42;480
BANBY;BY01;2022/08/18;42;480
BANBY;BY01;2022/07/19;110;35
BANBY;BY01;2022/07/19;42;60
BANBY;BY01;2022/07/19;43;15
BANBY;BY01;2022/07/19;45;30
BANBY;BY01;2022/07/19;47;40
BANBY;BY01;2022/07/19;48;20
BANBY;BY01;2022/07/19;49;24
BANBY;BY01;2022/07/19;81;29
BANBY;BY01;2022/08/19;101;0
BANBY;BY01;2022/08/19;110;30
BANBY;BY01;2022/08/19;42;25
BANBY;BY01;2022/08/19;43;14
BANBY;BY01;2022/08/19;45;13
BANBY;BY01;2022/08/19;48;62
BANBY;BY01;2022/08/19;82;97
BANBY;BY01;2022/07/20;110;20
BANBY;BY01;2022/07/20;42;20
BANBY;BY01;2022/07/20;43;15
BANBY;BY01;2022/07/20;45;23
BANBY;BY01;2022/07/20;48;33
BANBY;BY01;2022/07/20;81;33
BANBY;BY01;2022/08/20;110;35
BANBY;BY01;2022/08/20;42;54
BANBY;BY01;2022/08/20;43;13
BANBY;BY01;2022/08/20;44;34
BANBY;BY01;2022/08/20;45;20
BANBY;BY01;2022/08/20;48;17
BANBY;BY01;2022/08/20;49;26
BANBY;BY01;2022/08/20;82;37
BANBY;BY01;2022/07/21;101;1
BANBY;BY01;2022/07/21;110;22
BANBY;BY01;2022/07/21;41;70
BANBY;BY01;2022/07/21;42;25
BANBY;BY01;2022/07/21;43;15
BANBY;BY01;2022/07/21;45;13
BANBY;BY01;2022/07/21;47;71
BANBY;BY01;2022/07/21;48;66
BANBY;BY01;2022/07/21;49;7
BANBY;BY01;2022/08/21;42;480
BANBY;BY01;2022/07/22;101;2
BANBY;BY01;2022/07/22;110;3
BANBY;BY01;2022/07/22;42;393
BANBY;BY01;2022/07/22;48;10
BANBY;BY01;2022/08/22;42;480
BANBY;BY01;2022/07/23;101;2
BANBY;BY01;2022/07/23;110;32
BANBY;BY01;2022/07/23;42;25
BANBY;BY01;2022/07/23;43;23
BANBY;BY01;2022/07/23;45;15
BANBY;BY01;2022/07/23;48;25
BANBY;BY01;2022/07/23;81;38
BANBY;BY01;2022/08/23;101;1
BANBY;BY01;2022/08/23;110;27
BANBY;BY01;2022/08/23;42;25
BANBY;BY01;2022/08/23;43;10
BANBY;BY01;2022/08/23;45;24
BANBY;BY01;2022/08/23;48;17
BANBY;BY01;2022/08/23;49;7
BANBY;BY01;2022/07/24;101;2
BANBY;BY01;2022/07/24;110;38
BANBY;BY01;2022/07/24;42;25
BANBY;BY01;2022/07/24;43;24
BANBY;BY01;2022/07/24;45;20
BANBY;BY01;2022/07/24;48;48
BANBY;BY01;2022/07/24;49;14
BANBY;BY01;2022/08/24;42;240
BANBY;BY01;2022/07/25;42;480
BANBY;BY01;2022/08/25;101;0
BANBY;BY01;2022/08/25;110;31
BANBY;BY01;2022/08/25;42;25
BANBY;BY01;2022/08/25;43;20
BANBY;BY01;2022/08/25;45;20
BANBY;BY01;2022/08/25;48;22
BANBY;BY01;2022/08/25;49;58
BANBY;BY01;2022/08/25;82;42
BANBY;BY01;2022/07/26;110;27
BANBY;BY01;2022/07/26;42;59
BANBY;BY01;2022/07/26;43;15
BANBY;BY01;2022/07/26;45;8
BANBY;BY01;2022/07/26;48;19
BANBY;BY01;2022/07/26;81;38
BANBY;BY01;2022/07/26;82;155
BANBY;BY01;2022/08/26;110;18
BANBY;BY01;2022/08/26;42;200
BANBY;BY01;2022/08/26;43;15
BANBY;BY01;2022/08/26;48;66
BANBY;BY01;2022/08/26;49;37
BANBY;BY01;2022/07/27;110;22
BANBY;BY01;2022/07/27;41;20
